"","Brain","Pdgfr_Intensity","Gfap_Intensity"
"1","Td58_14D_MCAO_Perilesion","1047.30955975035","5599.72772672971"
"1","Td58_14D_MCAO_Striatum","1536.23399043416","6837.08534204212"
"1","Td59_7D_MCAO_Cortex","5847.4539990336","50.4816172578441"
"1","Td59_7D_MCAO_Perilesion","788.481056732152","6384.15307225065"
"1","Td59_7D_MCAO_Striatum","2006.35571451186","6735.62275586123"
"1","Td60_7D_MCAO_Cortex","6118.94742282689","1885.48961284782"
"1","Td60_7D_MCAO_Perilesion","971.233062375785","9230.93684501507"
"1","Td60_7D_MCAO_Striatum","1492.58245167227","7538.80628132774"
"1","Td61_7D_MCAO_Cortex","1428.32747303081","34.6261205583226"
"1","Td61_7D_MCAO_Perilesion","1001.87104923476","9690.36619890092"
"1","Td61_7D_MCAO_Striatum","1498.18484105781","5866.48783268144"
"1","Td62_7D_MCAO_Cortex","4243.28635513026","127.553698050008"
"1","Td62_7D_MCAO_Perilesion","745.731184510689","6855.64236669485"
"1","Td62_7D_MCAO_Striatum","1290.149527672","6939.82392989578"
"1","Td63_7D_MCAO_Cortex","3081.20459117978","50.6499384851471"
"1","Td63_7D_MCAO_Perilesion","1267.9328568301","10870.41102589"
"1","Td63_7D_MCAO_Striatum","1081.23872834624","6149.54526746926"
"1","Td64_7D_MCAO_Cortex","1833.4627375255","466.853937795844"
"1","Td64_7D_MCAO_Perilesion","1072.37755328885","4458.38856800402"
"1","Td64_7D_MCAO_Striatum","1347.01864484032","6886.63282174614"
"1","Td65_0D_SHAM_Cortex","1266.65193409312","67.5547698182998"
"1","Td65_0D_SHAM_Striatum","944.439948493455","421.624977006007"
"1","Td66_0D_SHAM_Cortex","1167.60168689529","84.6088178909629"
"1","Td66_0D_SHAM_Striatum","948.35283661663","914.483092451751"
"1","Td67_0D_SHAM_Cortex","1091.62792959813","67.6978560991088"
"1","Td67_0D_SHAM_Striatum","911.548596619802","497.975622227484"
"1","Td68_0D_SHAM_Cortex","984.037504503519","788.92661998989"
"1","Td68_0D_SHAM_Striatum","851.765906201563","413.232964394818"
"1","Td69_0D_SHAM_Cortex","1097.68949643113","1857.62837857576"
"1","Td69_0D_SHAM_Striatum","1011.45863375865","1652.04910180579"
"1","Td71_3D_MCAO_Cortex","698.268424309867","42.5773429457236"
"1","Td71_3D_MCAO_Perilesion","665.880486214206","4197.57572322373"
"1","Td71_3D_MCAO_Striatum","1390.73295844786","2646.60696334925"
"1","Td72_3D_MCAO_Cortex","500.402479128002","93.2953774645428"
"1","Td72_3D_MCAO_Perilesion","884.901528989094","6750.53452114537"
"1","Td72_3D_MCAO_Striatum","659.954382002224","1675.2688158518"
"1","Td73_3D_MCAO_Cortex","615.430048784835","84.305486134909"
"1","Td73_3D_MCAO_Perilesion","717.230977278534","4354.01393265557"
"1","Td73_3D_MCAO_Striatum","480.305756243139","2898.68737101122"
"1","Td74_3D_MCAO_Perilesion","573.043482414201","3160.16626331361"
"1","Td74_3D_MCAO_Striatum","591.847250652561","1378.15859794811"
"1","Td75_3D_MCAO_Cortex","429.980943585954","455.273940267481"
"1","Td75_3D_MCAO_Perilesion","177.191482038285","3577.58039924918"
"1","Td75_3D_MCAO_Striatum","513.429068375018","1405.61728555128"
"1","Td76_3D_MCAO_Cortex","1313.64536131828","134.732857571106"
"1","Td76_3D_MCAO_Perilesion","951.899685402331","2864.12294722825"
"1","Td76_3D_MCAO_Striatum","776.074211692237","2083.59054660851"
"1","Td77_3D_MCAO_Cortex","760.010169395394","92.8901318149926"
"1","Td77_3D_MCAO_Perilesion","943.921239274258","5208.42255242403"
"1","Td77_3D_MCAO_Striatum","1148.27064068501","1789.95129283251"
"1","Td78_3D_MCAO_Cortex","1140.19352291464","50.6752676850953"
"1","Td78_3D_MCAO_Perilesion","1544.24333554034","4269.8750152099"
"1","Td78_3D_MCAO_Striatum","1810.79816177441","2728.83071820888"
"1","Td79_3D_MCAO_Cortex","877.654596612323","135.023784094204"
"1","Td79_3D_MCAO_Perilesion","754.633852785156","3586.63055874293"
"1","Td79_3D_MCAO_Striatum","658.150507765953","2202.27285290915"
"1","Td80_0D_SHAM_Striatum","1010.6196575819","362.138710633513"
"1","Td81_0D_SHAM_Cortex","741.129462723366","84.2192571276552"
"1","Td81_0D_SHAM_Striatum","766.807311560261","151.676171517414"
