,Image,Object,Name,Class,Parent,ROI,Centroid X ?m,Centroid Y ?m,Tissue_Area,Num Detections,Area ?m^2,Perimeter ?m
35,Td45_30D_MCAO_Str.tif,1a7fbb0b-f56c-457f-8564-258976a27a9a,Ignore*,Ignore*,Image,Polygon,887.01,2585.2,0,23,8648517.8,21850.1
36,Td45_30D_MCAO_Str.tif,fe1d4356-9a9c-4770-9a2b-0a4259a56a42,Positive,Positive,Image,Polygon,2278.8,2824,8310817,1841,8310817,14992.9
37,Td46_30D_MCAO_Str.tif,1f5439fc-d1dd-4659-887a-f48b20067e15,Positive,Positive,Image,Geometry,2464.6,2914.1,8368226,3574,8368226.2,17666.1
38,Td46_30D_MCAO_Str.tif,f9d6acf5-552b-4345-95f9-61833de9c616,Ignore*,Ignore*,Image,Geometry,1167.2,3238.6,0,65,12589486.3,27312.7
39,Td48_30D_MCAO_Str.tif,50fb6588-6631-4a8e-8598-0371984517ac,Positive,Positive,Image,Geometry,2482.9,2962.5,7277452.5,2660,7277452.5,16620
40,Td48_30D_MCAO_Str.tif,f103bff1-0f41-4c2a-823e-d76f90abeeb3,Ignore*,Ignore*,Image,Geometry,1260.9,3186.9,0,14,13680260,27777.6
41,Td49_30D_MCAO_Str.tif,0e50bad1-8494-48b2-ba11-8a742e15f41a,Ignore*,Ignore*,Image,Geometry,612.26,2726.9,0,8,4133458,20920.3
42,Td49_30D_MCAO_Str.tif,36fea3d6-c8c1-4beb-90b9-91024453f9c7,Positive,Positive,Image,Geometry,1031.6,3344.5,6706738,2848,6706738.2,16271.4
43,Td50_30D_MCAO_Str.tif,c04f8585-df3e-401a-816a-114533c01358,Ignore*,Ignore*,Image,Polygon,1081.6,3050.5,0,24,11620285,24407.1
44,Td50_30D_MCAO_Str.tif,89f76af2-2925-4846-be34-f22f2eff88fe,Positive,Positive,Image,Polygon,2362.9,3187.9,8614748,5441,8614747.8,16620
45,Td52_30D_MCAO_Str.tif,1c2ce637-9906-4a0e-91f5-3a99c0c48cc9,Ignore*,Ignore*,Image,Polygon,994.26,2901.9,0,15,10502495.3,23128.6
46,Td52_30D_MCAO_Str.tif,c9c47e53-94e3-437a-b1c9-2142b5021b50,Positive,Positive,Image,Polygon,2274.8,3341.1,9371198,6439,9371197.6,15109.1
47,Td53_14D_MCAO_Str.tif,a164368e-7a65-4f6f-96d0-71e8c9c3014e,Positive,Positive,Image,Geometry,2437.1,3036.5,9668374,7468,9668374.3,18247.2
48,Td53_14D_MCAO_Str.tif,7d0342bf-5615-4d3e-b94a-7fa98159da62,Ignore*,Ignore*,Image,Geometry,1041.3,3171.1,0,4,11289338.2,26266.6
49,Td55_14D_MCAO_Str.tif,88b5cb48-32f5-46b8-8c8b-6f743bee51fa,Ignore*,Ignore*,Image,Geometry,955.41,3091.1,0,6,10367415,25453.1
50,Td55_14D_MCAO_Str.tif,089e7726-90c1-4985-aca6-c636eb34a91a,Positive,Positive,Image,Geometry,2332.9,3127.8,9867618,5490,9867617.8,17666.1
51,Td56_14D_MCAO_Str.tif,d91e9bb4-84cc-45a7-b703-ff3a582f7257,Positive,Positive,Image,Geometry,2349,3075.5,8648518,7964,8648517.8,17433.6
52,Td56_14D_MCAO_Str.tif,068ca11c-dfa0-4f64-a6d1-6cb7bc4fb79f,Ignore*,Ignore*,Image,Geometry,1019.5,3134.8,0,9,11225175,24755.7
53,Td57_14D_MCAO_Str.tif,d1f01e3b-1687-4b0a-976c-a774b70a57c3,Ignore*,Ignore*,Image,Geometry,1093.2,2870.3,0,8,12022149,24290.8
54,Td57_14D_MCAO_Str.tif,ce7b9b66-947e-486b-83ae-b3a6cf0883c1,Positive,Positive,Image,Geometry,2371.2,3474.4,7851544,5331,7851543.9,15457.8
55,Td58_14D_MCAO_Str.tif,2c7834c9-6f62-47c8-82c4-5f0b8ecd383d,Positive,Positive,Image,Geometry,2096.9,3108.1,10667969,8312,10667968.7,17666.1
56,Td58_14D_MCAO_Str.tif,410e448c-b40c-4807-bd88-c1b9069e3e80,Ignore*,Ignore*,Image,Geometry,932.35,3110.1,0,14,8844384.3,24988.2
57,Td59_7D_MCAO_Str.tif,1fc81cfb-8faf-4210-b2ce-fe3a2ab5a25e,Ignore*,Ignore*,Image,Geometry,1078.2,3570.7,0,8,11161011.9,29520.9
58,Td59_7D_MCAO_Str.tif,fdc22d12-3718-4827-8500-21904e101c40,Positive,Positive,Image,Geometry,2051.4,3903.1,12798861,7501,12798860.8,20571.7
59,Td60_7D_MCAO_Str.tif,c741e47b-4a28-47ef-81d2-197a62128012,Ignore*,Ignore*,Image,Geometry,860.88,2807.4,0,1,6136023.8,25220.6
60,Td60_7D_MCAO_Str.tif,7040357f-3d34-4b09-aae1-6595e479a35b,Positive,Positive,Image,Polygon,1927.4,3243.7,13737669,6642,13737669.1,18479.6
61,Td61_7D_MCAO_Str.tif,156c3427-2ca8-44c1-bfd9-ff0092e76d75,Ignore*,Ignore*,Image,Geometry,832.92,2880.1,0,11,5680127.7,34751
62,Td61_7D_MCAO_Str.tif,cb22c5a7-d935-4858-9ed9-b5f85d62fd61,Positive,Positive,Image,Geometry,1838.1,3205.5,13470885,7264,13470885.5,27661.3
63,Td62_7D_MCAO_Str.tif,15ba399e-04e0-4330-a23b-e466e0f2029f,Ignore*,Ignore*,Image,Geometry,771.92,2950.6,0,10,5953665.3,31496.7
64,Td62_7D_MCAO_Str.tif,560b99fb-3552-4a95-8c4d-f459f058ac78,Positive,Positive,Image,Geometry,1983.7,3175,14281367,5772,14281367.4,27196.4
65,Td63_7D_MCAO_Str.tif,81a9759a-fcf5-494c-9db2-6fbced435da5,Ignore*,Ignore*,Image,Geometry,889.8,2434.7,0,3,4896661.8,40213.5
