"","MouseID","DPI","Condition","Class","X","Y"
"112","Td33","30D","MCAO","Positive",3256.5,2630
"113","Td33","30D","MCAO","Positive",2107.5,3155
"114","Td33","30D","MCAO","Positive",1591.9,4097.3
"115","Td33","30D","MCAO","Positive",1523.3,2881.2
"116","Td33","30D","MCAO","Positive",2418.5,2978.7
"117","Td33","30D","MCAO","Positive",1503.5,3260.6
"118","Td33","30D","MCAO","Positive",2698.4,3642.6
"119","Td33","30D","MCAO","Positive",1571.1,3426.2
"120","Td33","30D","MCAO","Positive",1852.5,4527.2
"121","Td33","30D","MCAO","Positive",1291.6,2592.3
"122","Td33","30D","MCAO","Positive",2226.2,2673.2
"123","Td33","30D","MCAO","Positive",1709.1,2809.2
"124","Td33","30D","MCAO","Positive",2302.9,2537.5
"125","Td33","30D","MCAO","Positive",1457.2,2567.9
"126","Td33","30D","MCAO","Positive",1872,4054
"127","Td33","30D","MCAO","Positive",1389.5,2506.5
"128","Td33","30D","MCAO","Positive",1977.6,3552
"129","Td33","30D","MCAO","Positive",2048.2,3313.2
"130","Td33","30D","MCAO","Positive",1624.5,3447.1
"131","Td33","30D","MCAO","Positive",1765.3,3022.3
"132","Td33","30D","MCAO","Positive",1764.2,3204.7
"133","Td33","30D","MCAO","Positive",3083.3,1984.7
"134","Td33","30D","MCAO","Positive",2022,1387.4
"135","Td33","30D","MCAO","Positive",2111.7,1873
"136","Td33","30D","MCAO","Positive",1425.8,2888
"137","Td33","30D","MCAO","Positive",1462.9,2495
"138","Td33","30D","MCAO","Positive",2094.9,3982.1
"139","Td33","30D","MCAO","Positive",1754.1,3055.7
"140","Td33","30D","MCAO","Positive",1526.7,2667.4
"141","Td33","30D","MCAO","Positive",3283.3,2697.7
"142","Td33","30D","MCAO","Positive",2069.3,4657.3
"143","Td33","30D","MCAO","Positive",2347.5,3471.8
"144","Td33","30D","MCAO","Positive",1719.6,3845.3
"145","Td33","30D","MCAO","Positive",1429.2,2440
"146","Td33","30D","MCAO","Positive",2408.5,2622
"147","Td33","30D","MCAO","Positive",1603.1,3281.4
"148","Td33","30D","MCAO","Positive",1174,3047.7
"149","Td33","30D","MCAO","Positive",2671.7,1988.7
"150","Td33","30D","MCAO","Positive",1786.5,3482.9
"151","Td33","30D","MCAO","Positive",1977.6,3376.8
"152","Td33","30D","MCAO","Positive",2133,3935.7
"153","Td33","30D","MCAO","Positive",1987.7,3422.6
"154","Td33","30D","MCAO","Positive",1289.4,2704.8
"155","Td33","30D","MCAO","Positive",2758.3,2277.3
"156","Td33","30D","MCAO","Positive",2878.9,2424.6
"157","Td33","30D","MCAO","Positive",2096.8,3128.4
"158","Td33","30D","MCAO","Positive",1712.1,2628.8
"159","Td33","30D","MCAO","Positive",2510.9,4479.9
"160","Td33","30D","MCAO","Positive",1995.9,2988.7
"161","Td33","30D","MCAO","Positive",1530.9,3429.3
"162","Td33","30D","MCAO","Positive",3265.3,2790
"163","Td33","30D","MCAO","Positive",2047.8,3355.6
"164","Td33","30D","MCAO","Positive",1393.6,3156.3
"165","Td33","30D","MCAO","Positive",1306.5,2353.2
"166","Td33","30D","MCAO","Positive",2915.8,2402.8
"167","Td33","30D","MCAO","Positive",1766.5,2967.6
"168","Td33","30D","MCAO","Positive",2350.1,3869.6
"169","Td33","30D","MCAO","Positive",1905.9,4403.6
"170","Td33","30D","MCAO","Positive",2951.9,3649.1
"171","Td33","30D","MCAO","Positive",2226.8,3422
"172","Td33","30D","MCAO","Positive",2032.7,3683.8
"173","Td33","30D","MCAO","Positive",2469.5,2257.4
"174","Td33","30D","MCAO","Positive",1871.3,4191
"175","Td33","30D","MCAO","Positive",2558.4,2316
"176","Td33","30D","MCAO","Positive",2436.5,2741.8
"177","Td33","30D","MCAO","Positive",1802,3738.3
"178","Td33","30D","MCAO","Positive",2123.6,3969.5
"179","Td33","30D","MCAO","Positive",2673.5,2613.1
"180","Td33","30D","MCAO","Positive",1597.6,3588.5
"181","Td33","30D","MCAO","Positive",2147.8,3141.2
"182","Td33","30D","MCAO","Positive",1471.6,2369
"183","Td33","30D","MCAO","Positive",2322.7,3820.3
"184","Td33","30D","MCAO","Positive",1928.9,4118.7
"185","Td33","30D","MCAO","Positive",1971.4,2927.7
"186","Td33","30D","MCAO","Positive",1490.8,2761
"187","Td33","30D","MCAO","Positive",2175.4,3925.4
"188","Td33","30D","MCAO","Positive",1585.6,3050.4
"189","Td33","30D","MCAO","Positive",1812.7,3796.5
"190","Td33","30D","MCAO","Positive",1813.6,4058.6
"191","Td33","30D","MCAO","Positive",1786.1,3139
"192","Td33","30D","MCAO","Positive",3033.4,497.72
"193","Td33","30D","MCAO","Positive",2131.6,4150.8
"194","Td33","30D","MCAO","Positive",1922.7,2847.9
"195","Td33","30D","MCAO","Positive",2470.4,3171.8
"196","Td33","30D","MCAO","Positive",2173.9,3520.4
"197","Td33","30D","MCAO","Positive",1699.5,2890
"198","Td33","30D","MCAO","Positive",1835.4,1544.6
"199","Td33","30D","MCAO","Positive",2170.7,3585
"200","Td33","30D","MCAO","Positive",2309.4,2743.5
"201","Td33","30D","MCAO","Positive",1745.1,2884.9
"202","Td33","30D","MCAO","Positive",2626.1,2828.1
"203","Td33","30D","MCAO","Positive",2110.4,4465.5
"204","Td33","30D","MCAO","Positive",2072.6,4062.4
"205","Td33","30D","MCAO","Positive",2502.3,2664.5
"206","Td33","30D","MCAO","Positive",2043,3271.4
"207","Td33","30D","MCAO","Positive",3084.6,2436
"208","Td33","30D","MCAO","Positive",2285.3,3913.8
"209","Td33","30D","MCAO","Positive",1820.4,3579.1
"210","Td33","30D","MCAO","Positive",1478.1,3435.4
"211","Td33","30D","MCAO","Positive",2046.4,3463.4
"212","Td33","30D","MCAO","Positive",3138.1,2316.1
"213","Td33","30D","MCAO","Positive",2188.3,4199.3
"214","Td33","30D","MCAO","Positive",2275.8,3297.5
"215","Td33","30D","MCAO","Positive",1626.2,1185.6
"216","Td33","30D","MCAO","Positive",1967.3,3593.5
"217","Td33","30D","MCAO","Positive",1829,3439.1
"218","Td33","30D","MCAO","Positive",2478.9,2370.9
"219","Td33","30D","MCAO","Positive",2059.8,3787
"220","Td33","30D","MCAO","Positive",2154.9,3664
"221","Td33","30D","MCAO","Positive",1233.9,2555.5
"222","Td33","30D","MCAO","Positive",2865.1,2518.6
"223","Td33","30D","MCAO","Positive",2507.6,2347.4
"224","Td33","30D","MCAO","Positive",1439.6,3243.3
"225","Td33","30D","MCAO","Positive",2152.6,2811.4
"226","Td33","30D","MCAO","Positive",2007.3,4091
"227","Td33","30D","MCAO","Positive",2157.3,3036.8
"228","Td33","30D","MCAO","Positive",2449.5,2979.9
"229","Td33","30D","MCAO","Positive",1712.2,2749.6
"230","Td33","30D","MCAO","Positive",1512.4,3377.7
"231","Td33","30D","MCAO","Positive",2259.3,1175.9
"232","Td33","30D","MCAO","Positive",2066.1,4083.8
"233","Td33","30D","MCAO","Positive",2115,3725.4
"234","Td33","30D","MCAO","Positive",1724.2,2914.7
"235","Td33","30D","MCAO","Positive",1785.3,3703.6
"236","Td33","30D","MCAO","Positive",2145.1,3228.1
"237","Td33","30D","MCAO","Positive",3005.8,1855.8
"238","Td33","30D","MCAO","Positive",1939,3506.4
"239","Td33","30D","MCAO","Positive",1708.2,3547.6
"240","Td33","30D","MCAO","Positive",1750.9,3242.8
"241","Td33","30D","MCAO","Positive",1309.1,2560.4
"242","Td33","30D","MCAO","Positive",1853.8,3372.4
"243","Td33","30D","MCAO","Positive",1808.7,3059.8
"244","Td33","30D","MCAO","Positive",2700,1913.5
"245","Td33","30D","MCAO","Positive",2103.4,1821.2
"246","Td33","30D","MCAO","Positive",2037.2,3860.5
"247","Td33","30D","MCAO","Positive",2246.4,4205.8
"248","Td33","30D","MCAO","Positive",2724.3,502.71
"249","Td33","30D","MCAO","Positive",1184.5,2014
"250","Td33","30D","MCAO","Positive",2201.9,3258.6
"251","Td33","30D","MCAO","Positive",1298.4,2478.4
"252","Td33","30D","MCAO","Positive",2329.2,2978.4
"253","Td33","30D","MCAO","Positive",1516.7,2910.6
"254","Td33","30D","MCAO","Positive",1861.2,3692.9
"255","Td33","30D","MCAO","Positive",1658.7,3009.4
"256","Td33","30D","MCAO","Positive",1392.8,3183.1
"257","Td33","30D","MCAO","Positive",1581.4,3198.3
"258","Td33","30D","MCAO","Positive",2336.3,3327.3
"259","Td33","30D","MCAO","Positive",1597.5,3555.9
"260","Td33","30D","MCAO","Positive",1782.8,2836.8
"261","Td33","30D","MCAO","Positive",1732.1,2780.2
"262","Td33","30D","MCAO","Positive",2314.3,2615.8
"263","Td33","30D","MCAO","Positive",2620.2,2503.9
"264","Td33","30D","MCAO","Positive",2817.7,4683.6
"265","Td33","30D","MCAO","Positive",3013.1,2407.3
"266","Td33","30D","MCAO","Positive",1436.2,2596.1
"267","Td33","30D","MCAO","Positive",1804,3607.8
"268","Td33","30D","MCAO","Positive",2365,3420.5
"269","Td33","30D","MCAO","Positive",1800.4,4201.2
"270","Td33","30D","MCAO","Positive",1586.9,3323.1
"271","Td33","30D","MCAO","Positive",2191.3,3402.3
"272","Td33","30D","MCAO","Positive",2404.2,2468.1
"273","Td33","30D","MCAO","Positive",3054,3711
"274","Td33","30D","MCAO","Positive",2164.6,4151.2
"275","Td33","30D","MCAO","Positive",1689.5,2645.7
"276","Td33","30D","MCAO","Positive",2987.1,1891.6
"277","Td33","30D","MCAO","Positive",2640.5,2544.9
"278","Td33","30D","MCAO","Positive",2096,3039.1
"279","Td33","30D","MCAO","Positive",1658,4153.9
"280","Td33","30D","MCAO","Positive",1858.7,3779
"281","Td33","30D","MCAO","Positive",2000,3590.6
"282","Td33","30D","MCAO","Positive",1734.8,3989.5
"283","Td33","30D","MCAO","Positive",1905.1,3333.8
"284","Td33","30D","MCAO","Positive",1905.2,3656.9
"285","Td33","30D","MCAO","Positive",1827.5,3672.8
"286","Td33","30D","MCAO","Positive",2321.2,2840.1
"287","Td33","30D","MCAO","Positive",2991.6,1451
"288","Td33","30D","MCAO","Positive",3109.7,1775.2
"289","Td33","30D","MCAO","Positive",1454.8,2639.4
"290","Td33","30D","MCAO","Positive",1598.7,3384.2
"291","Td33","30D","MCAO","Positive",2244,5000.5
"292","Td33","30D","MCAO","Positive",1335,2192.8
"293","Td33","30D","MCAO","Positive",2161.2,3624
"294","Td33","30D","MCAO","Positive",1338.7,3049.1
"295","Td33","30D","MCAO","Positive",2084.7,2992.1
"296","Td33","30D","MCAO","Positive",2232.9,4101.2
"297","Td33","30D","MCAO","Positive",2489.2,2623.6
"298","Td33","30D","MCAO","Positive",2267.9,3561.5
"299","Td33","30D","MCAO","Positive",1471.8,2814
"300","Td33","30D","MCAO","Positive",1871.6,3855.7
"301","Td33","30D","MCAO","Positive",1430,2813.1
"302","Td33","30D","MCAO","Positive",1893.4,4993.2
"303","Td33","30D","MCAO","Positive",1811.9,4110.5
"304","Td33","30D","MCAO","Positive",2707.3,1931.9
"305","Td33","30D","MCAO","Positive",1457,3444.9
"306","Td33","30D","MCAO","Positive",2343.5,1253.1
"307","Td33","30D","MCAO","Positive",3065.5,1930.2
"308","Td33","30D","MCAO","Positive",1893.7,4232
"309","Td33","30D","MCAO","Positive",2254,3859.6
"310","Td33","30D","MCAO","Positive",2193.1,4067.1
"311","Td33","30D","MCAO","Positive",1399,3265.8
"312","Td33","30D","MCAO","Positive",3188.6,2628.5
"313","Td33","30D","MCAO","Positive",2447,3189.7
"314","Td33","30D","MCAO","Positive",1570.7,3217.2
"315","Td33","30D","MCAO","Positive",1614.6,3816
"316","Td33","30D","MCAO","Positive",2437.9,3222.9
"317","Td33","30D","MCAO","Positive",1454.9,2909.7
"318","Td33","30D","MCAO","Positive",2874.9,1869
"319","Td33","30D","MCAO","Positive",2294.9,2848
"320","Td33","30D","MCAO","Positive",1942.6,3456.7
"321","Td33","30D","MCAO","Positive",1396.4,2291.7
"322","Td33","30D","MCAO","Positive",2538.7,3045.3
"323","Td33","30D","MCAO","Positive",1606.7,3171.4
"324","Td33","30D","MCAO","Positive",1849.9,3839.9
"325","Td33","30D","MCAO","Positive",1522.8,3202
"326","Td33","30D","MCAO","Positive",1632.6,3217.9
"327","Td33","30D","MCAO","Positive",2069.2,756.3
"328","Td33","30D","MCAO","Positive",1421.6,3116.9
"329","Td33","30D","MCAO","Positive",1992.4,3860.7
"330","Td33","30D","MCAO","Positive",1611.5,3919.8
"331","Td33","30D","MCAO","Positive",1621.7,3481.7
"332","Td33","30D","MCAO","Positive",2191.6,2401
"333","Td33","30D","MCAO","Positive",3046.3,1870.5
"334","Td33","30D","MCAO","Positive",3358.4,2833.5
"335","Td33","30D","MCAO","Positive",1220,3213.6
"336","Td33","30D","MCAO","Positive",3354.4,3956
"337","Td33","30D","MCAO","Positive",1823,3331.2
"338","Td33","30D","MCAO","Positive",2443.2,1099.8
"339","Td33","30D","MCAO","Positive",2199.2,2893.7
"340","Td33","30D","MCAO","Positive",2073,3556.7
"341","Td33","30D","MCAO","Positive",2072.3,3170.8
"342","Td33","30D","MCAO","Positive",1591.4,4021
"343","Td33","30D","MCAO","Positive",2063.5,2863.6
"344","Td33","30D","MCAO","Positive",3153.9,2282.6
"345","Td33","30D","MCAO","Positive",1947.7,2852.6
"346","Td33","30D","MCAO","Positive",1605.4,2489.2
"347","Td33","30D","MCAO","Positive",1413.7,3333.8
"348","Td33","30D","MCAO","Positive",1934.3,2943.9
"349","Td33","30D","MCAO","Positive",1668.9,2429
"350","Td33","30D","MCAO","Positive",2643.6,2025.5
"351","Td33","30D","MCAO","Positive",1366.9,2258.9
"352","Td33","30D","MCAO","Positive",2029.9,2558.6
"353","Td33","30D","MCAO","Positive",2061.6,3724.9
"354","Td33","30D","MCAO","Positive",2078.8,3318
"355","Td33","30D","MCAO","Positive",2002.2,3268.1
"356","Td33","30D","MCAO","Positive",1787.2,4028.7
"357","Td33","30D","MCAO","Positive",1492,3001.7
"358","Td33","30D","MCAO","Positive",1988.9,2859
"359","Td33","30D","MCAO","Positive",1430.6,3267.2
"360","Td33","30D","MCAO","Positive",2425.3,3014.7
"361","Td33","30D","MCAO","Positive",3037,2589
"362","Td33","30D","MCAO","Positive",1723.6,2654.5
"363","Td33","30D","MCAO","Positive",1473.8,2856.9
"364","Td33","30D","MCAO","Positive",1670.4,3106.6
"365","Td33","30D","MCAO","Positive",1335.1,3138.7
"366","Td33","30D","MCAO","Positive",1866.9,3535.2
"367","Td33","30D","MCAO","Positive",1145.8,3072
"368","Td33","30D","MCAO","Positive",1230.2,3187
"369","Td33","30D","MCAO","Positive",2152,3264.2
"370","Td33","30D","MCAO","Positive",2149.4,3425.2
"371","Td33","30D","MCAO","Positive",1343.2,2540.3
"372","Td33","30D","MCAO","Positive",2572.2,1143.1
"373","Td33","30D","MCAO","Positive",1850.8,4009.6
"374","Td33","30D","MCAO","Positive",2417.7,4521
"375","Td33","30D","MCAO","Positive",2080.8,4139.2
"376","Td33","30D","MCAO","Positive",2128.7,3837.9
"377","Td33","30D","MCAO","Positive",1517.1,2789.2
"378","Td33","30D","MCAO","Positive",1909.3,2942.5
"379","Td33","30D","MCAO","Positive",2026.3,3832.3
"380","Td33","30D","MCAO","Positive",2643.6,3427.9
"381","Td33","30D","MCAO","Positive",1839.6,3297.6
"382","Td33","30D","MCAO","Positive",2888.7,1824.7
"383","Td33","30D","MCAO","Positive",2923.7,2422.9
"384","Td33","30D","MCAO","Positive",1572.5,2992
"385","Td33","30D","MCAO","Positive",1832.9,4681.8
"386","Td33","30D","MCAO","Positive",1586,3680
"387","Td33","30D","MCAO","Positive",1337.9,2763.3
"388","Td33","30D","MCAO","Positive",2186,3451.2
"389","Td33","30D","MCAO","Positive",1779.8,2896.2
"390","Td33","30D","MCAO","Positive",2555.7,4617.3
"391","Td33","30D","MCAO","Positive",1464.2,3301.2
"392","Td33","30D","MCAO","Positive",1991.7,4145
"393","Td33","30D","MCAO","Positive",1291.4,2329.5
"394","Td33","30D","MCAO","Positive",2692.1,981.52
"395","Td33","30D","MCAO","Positive",2154.9,3701.6
"396","Td33","30D","MCAO","Positive",3055.3,2510.9
"397","Td33","30D","MCAO","Positive",1438.2,3359.3
"398","Td33","30D","MCAO","Positive",2298.6,3869.7
"399","Td33","30D","MCAO","Positive",2438.3,1136.3
"400","Td33","30D","MCAO","Positive",3347.2,1560.7
"401","Td33","30D","MCAO","Positive",1620.1,2676.6
"402","Td33","30D","MCAO","Positive",3168.9,2414.7
"403","Td33","30D","MCAO","Positive",1852,4151
"404","Td33","30D","MCAO","Positive",1321.4,3336.9
