"","MouseID","DPI","Condition","Class","X","Y"
"1","Td26","14D","MCAO","Positive",2797.1,2159.8
"2","Td26","14D","MCAO","Positive",1132.3,2021.4
"3","Td26","14D","MCAO","Positive",2118.5,3868.7
"4","Td26","14D","MCAO","Positive",2619.7,2166.9
"5","Td26","14D","MCAO","Positive",1843.8,3225.6
"6","Td26","14D","MCAO","Positive",3298.6,3625.8
"7","Td26","14D","MCAO","Positive",1475,1880.6
"8","Td26","14D","MCAO","Positive",3301.1,3523.7
"9","Td26","14D","MCAO","Positive",1803.2,2281.2
"10","Td26","14D","MCAO","Positive",1420.8,2120.4
"11","Td26","14D","MCAO","Positive",1653.2,3720.6
"12","Td26","14D","MCAO","Positive",1854.4,1270.7
"13","Td26","14D","MCAO","Positive",3044,1916.6
"14","Td26","14D","MCAO","Positive",3315.8,1966.3
"15","Td26","14D","MCAO","Positive",1859.5,4076.6
"16","Td26","14D","MCAO","Positive",2642.9,2352.4
"17","Td26","14D","MCAO","Positive",2846.8,2123.7
"18","Td26","14D","MCAO","Positive",1157.2,1776.6
"19","Td26","14D","MCAO","Positive",1932.6,2584.9
"20","Td26","14D","MCAO","Positive",2500.8,2228.4
"21","Td26","14D","MCAO","Positive",2038.8,4755.1
"22","Td26","14D","MCAO","Positive",1795.6,3959.7
"23","Td26","14D","MCAO","Positive",1970.7,4877.2
"24","Td26","14D","MCAO","Positive",2625,2041.1
"25","Td26","14D","MCAO","Positive",2793,3049.1
"26","Td26","14D","MCAO","Positive",2761.2,2337
"27","Td26","14D","MCAO","Positive",1820.7,3777.7
"28","Td26","14D","MCAO","Positive",1417.8,2557.8
"29","Td26","14D","MCAO","Positive",2536.9,3900.4
"30","Td26","14D","MCAO","Positive",2052.7,3814.5
"31","Td26","14D","MCAO","Positive",1403.7,1992.2
"32","Td26","14D","MCAO","Positive",1837.3,4547.1
"33","Td26","14D","MCAO","Positive",1686.8,1276
"34","Td26","14D","MCAO","Positive",1941.6,2002.7
"35","Td26","14D","MCAO","Positive",2681.4,4314.1
"36","Td26","14D","MCAO","Positive",3052.2,855.79
"37","Td26","14D","MCAO","Positive",2596.4,691.12
"38","Td26","14D","MCAO","Positive",3120.9,1680.7
"39","Td26","14D","MCAO","Positive",1075.5,2235.4
"40","Td26","14D","MCAO","Positive",3317.5,3258.1
"41","Td26","14D","MCAO","Positive",1603.5,4194.9
"42","Td26","14D","MCAO","Positive",2041.5,3989.4
"43","Td26","14D","MCAO","Positive",1264.3,1920.1
"44","Td26","14D","MCAO","Positive",1825.5,4049.5
"45","Td26","14D","MCAO","Positive",1767.5,4050.3
"46","Td26","14D","MCAO","Positive",1809.4,4709
"47","Td26","14D","MCAO","Positive",2598.7,748.05
"48","Td26","14D","MCAO","Positive",1236.3,1931.4
"49","Td26","14D","MCAO","Positive",3036.3,1738.2
"50","Td26","14D","MCAO","Positive",1265.8,1463.2
"51","Td26","14D","MCAO","Positive",2590.7,2339
"52","Td26","14D","MCAO","Positive",1228.7,1798.1
"53","Td26","14D","MCAO","Positive",1185.1,1657
"54","Td26","14D","MCAO","Positive",1340.9,2481.4
"55","Td26","14D","MCAO","Positive",2048.8,4795.7
"56","Td26","14D","MCAO","Positive",1933.2,3810.9
"57","Td26","14D","MCAO","Positive",1212.4,1980.3
"58","Td26","14D","MCAO","Positive",2115.4,2504.6
"59","Td26","14D","MCAO","Positive",2120.3,2835.1
"60","Td26","14D","MCAO","Positive",2702,2107.4
"61","Td26","14D","MCAO","Positive",1297.7,1461.7
"62","Td26","14D","MCAO","Positive",3026.1,2040.6
"63","Td26","14D","MCAO","Positive",2122.2,3835.1
"64","Td26","14D","MCAO","Positive",2156.4,4022.8
"65","Td26","14D","MCAO","Positive",2057.3,2178.1
"66","Td26","14D","MCAO","Positive",3006,2003.2
"67","Td26","14D","MCAO","Positive",1682.9,2500
"68","Td26","14D","MCAO","Positive",1564.8,3838.3
"69","Td26","14D","MCAO","Positive",1306.5,2112.2
"70","Td26","14D","MCAO","Positive",3346.4,3031.2
"71","Td26","14D","MCAO","Positive",1791.2,2100.2
"72","Td26","14D","MCAO","Positive",1816.2,1202.8
"73","Td26","14D","MCAO","Positive",2014.2,3869
"74","Td26","14D","MCAO","Positive",1214.6,2866.2
"75","Td26","14D","MCAO","Positive",1686,3481.6
"76","Td26","14D","MCAO","Positive",1603,3148
"77","Td26","14D","MCAO","Positive",1768.3,3668.7
"78","Td26","14D","MCAO","Positive",2164.4,2852.4
"79","Td26","14D","MCAO","Positive",1884.5,2083.7
"80","Td26","14D","MCAO","Positive",1759,4091.1
"81","Td26","14D","MCAO","Positive",1756.1,2835.9
"82","Td26","14D","MCAO","Positive",1886,4840.3
"83","Td26","14D","MCAO","Positive",1847.1,4261.3
"84","Td26","14D","MCAO","Positive",1403.6,1837.7
"85","Td26","14D","MCAO","Positive",2703.1,2041.2
"86","Td26","14D","MCAO","Positive",1429.2,1597.1
"87","Td26","14D","MCAO","Positive",2083.7,4932.8
"88","Td26","14D","MCAO","Positive",1871.6,2533.4
"89","Td26","14D","MCAO","Positive",1898.7,4036.7
"90","Td26","14D","MCAO","Positive",3328.5,1199
"91","Td26","14D","MCAO","Positive",3291.9,2850.9
"92","Td26","14D","MCAO","Positive",1981.9,4694.5
"93","Td26","14D","MCAO","Positive",3312,3368.6
"94","Td26","14D","MCAO","Positive",1438.1,1675.6
"95","Td26","14D","MCAO","Positive",2369.7,4621.5
"96","Td26","14D","MCAO","Positive",2136.4,3240.7
"97","Td26","14D","MCAO","Positive",2098.6,3695
"98","Td26","14D","MCAO","Positive",2418.7,2440.5
"99","Td26","14D","MCAO","Positive",2487.2,2318.2
"100","Td26","14D","MCAO","Positive",1999.5,4468.1
"101","Td26","14D","MCAO","Positive",1990.5,2658.1
"102","Td26","14D","MCAO","Positive",1826.2,3397.7
"103","Td26","14D","MCAO","Positive",2288.7,4920.7
"104","Td26","14D","MCAO","Positive",1402,1518.9
"105","Td26","14D","MCAO","Positive",1855.2,2110.7
"106","Td26","14D","MCAO","Positive",2428.7,4727.5
"107","Td26","14D","MCAO","Positive",1179,1951.5
"108","Td26","14D","MCAO","Positive",2608.3,4463.9
"109","Td26","14D","MCAO","Positive",1899.7,4319
"110","Td26","14D","MCAO","Positive",2358.8,4847.3
"111","Td26","14D","MCAO","Positive",1960.3,4212.7
"112","Td26","14D","MCAO","Positive",1771.6,4002.1
"113","Td26","14D","MCAO","Positive",2080.7,4858.7
"114","Td26","14D","MCAO","Positive",2237.3,3992.2
"115","Td26","14D","MCAO","Positive",1987.6,1854.7
"116","Td26","14D","MCAO","Positive",2370,4518.1
"117","Td26","14D","MCAO","Positive",2346.6,3068
"118","Td26","14D","MCAO","Positive",1939.4,4650.4
"119","Td26","14D","MCAO","Positive",1509.7,1935
"120","Td26","14D","MCAO","Positive",2076.7,4311.5
"121","Td26","14D","MCAO","Positive",1832.3,1130
"122","Td26","14D","MCAO","Positive",2115.1,4322.7
"123","Td26","14D","MCAO","Positive",2651,2017.8
"124","Td26","14D","MCAO","Positive",2163.9,4855.5
"125","Td26","14D","MCAO","Positive",1185.3,2196.2
"126","Td26","14D","MCAO","Positive",1246,1515.6
"127","Td26","14D","MCAO","Positive",1364.5,2047
"128","Td26","14D","MCAO","Positive",2189.6,4757.2
"129","Td26","14D","MCAO","Positive",1292.7,1793.2
"130","Td26","14D","MCAO","Positive",1158.6,2059.9
"131","Td26","14D","MCAO","Positive",1489.4,2259.7
"132","Td26","14D","MCAO","Positive",1799.2,4105.8
"133","Td26","14D","MCAO","Positive",2039.7,4176.4
"134","Td26","14D","MCAO","Positive",1760.5,4259.1
"135","Td26","14D","MCAO","Positive",2057.5,1854.1
"136","Td26","14D","MCAO","Positive",3044.6,2019.6
"137","Td26","14D","MCAO","Positive",1782.5,2430.1
"138","Td26","14D","MCAO","Positive",2966.4,1239.7
"139","Td26","14D","MCAO","Positive",1898.4,3915.8
"140","Td26","14D","MCAO","Positive",1605.9,4465.4
"141","Td26","14D","MCAO","Positive",2452.9,2281.9
"142","Td26","14D","MCAO","Positive",3042,1988.6
"143","Td26","14D","MCAO","Positive",1274.2,2309.7
"144","Td26","14D","MCAO","Positive",1427.5,1223.7
"145","Td26","14D","MCAO","Positive",2032,4021.3
"146","Td26","14D","MCAO","Positive",1857.9,3578.2
"147","Td26","14D","MCAO","Positive",1969.8,1463.3
"148","Td26","14D","MCAO","Positive",2130.9,3028
"149","Td26","14D","MCAO","Positive",1429.5,3169.5
"150","Td26","14D","MCAO","Positive",1781.3,4075.9
"151","Td26","14D","MCAO","Positive",1389.6,1658.6
"152","Td26","14D","MCAO","Positive",1836.8,1349.2
"153","Td26","14D","MCAO","Positive",2064.7,4687.6
"154","Td26","14D","MCAO","Positive",1296.6,2063.2
"155","Td26","14D","MCAO","Positive",1740.5,3882.8
"156","Td26","14D","MCAO","Positive",2540.4,2509
"157","Td26","14D","MCAO","Positive",2249.6,4762.4
"158","Td26","14D","MCAO","Positive",1473.3,3953.3
"159","Td26","14D","MCAO","Positive",1119,2170.7
"160","Td26","14D","MCAO","Positive",1173.6,1810.3
"161","Td26","14D","MCAO","Positive",1573.1,1935.3
"162","Td26","14D","MCAO","Positive",1657.4,2307
"163","Td26","14D","MCAO","Positive",1419.6,2314.7
"164","Td26","14D","MCAO","Positive",1200.8,1703.3
"165","Td26","14D","MCAO","Positive",3109.2,618.87
"166","Td26","14D","MCAO","Positive",1833.7,2733.3
"167","Td26","14D","MCAO","Positive",1289,1416.3
"168","Td26","14D","MCAO","Positive",1512,2223.4
"169","Td26","14D","MCAO","Positive",2376.4,5101.8
"170","Td26","14D","MCAO","Positive",1557.1,2448
"171","Td26","14D","MCAO","Positive",1449.5,1899.2
"172","Td26","14D","MCAO","Positive",1419.2,1888.7
"173","Td26","14D","MCAO","Positive",1539.1,2761.4
"174","Td26","14D","MCAO","Positive",1355.8,1699.4
"175","Td26","14D","MCAO","Positive",3130.9,1993.9
"176","Td26","14D","MCAO","Positive",2330.5,5129.5
"177","Td26","14D","MCAO","Positive",1943.7,4683.5
"178","Td26","14D","MCAO","Positive",2026.1,4709
"179","Td26","14D","MCAO","Positive",1890,3871.8
"180","Td26","14D","MCAO","Positive",2551.9,2876.4
"181","Td26","14D","MCAO","Positive",2211.1,4648.2
"182","Td26","14D","MCAO","Positive",1472.4,2075.2
"183","Td26","14D","MCAO","Positive",1891.2,3627.9
"184","Td26","14D","MCAO","Positive",1602.1,1211.7
"185","Td26","14D","MCAO","Positive",1764.3,2884
"186","Td26","14D","MCAO","Positive",1237.4,1569.3
"187","Td26","14D","MCAO","Positive",3261.8,2743.1
"188","Td26","14D","MCAO","Positive",1885.6,3742.7
"189","Td26","14D","MCAO","Positive",2336.5,4955.7
"190","Td26","14D","MCAO","Positive",1203.5,1741.1
"191","Td26","14D","MCAO","Positive",1710.8,4022.1
"192","Td26","14D","MCAO","Positive",1633.8,2143.3
"193","Td26","14D","MCAO","Positive",3089.6,2012.1
"194","Td26","14D","MCAO","Positive",1338.5,1625.8
"195","Td26","14D","MCAO","Positive",1738.8,897.83
"196","Td26","14D","MCAO","Positive",2941.5,1254.9
"197","Td26","14D","MCAO","Positive",3101.7,2323.8
"198","Td26","14D","MCAO","Positive",2355.9,5150.4
"199","Td26","14D","MCAO","Positive",1370.1,1375.1
"200","Td26","14D","MCAO","Positive",1153,1851.9
"201","Td26","14D","MCAO","Positive",2444,5095.3
"202","Td26","14D","MCAO","Positive",2392.7,5040.7
"203","Td26","14D","MCAO","Positive",1809.1,1473.6
"204","Td26","14D","MCAO","Positive",2411.7,4796.7
"205","Td26","14D","MCAO","Positive",2861.3,1522.9
"206","Td26","14D","MCAO","Positive",1488.5,1970.1
"207","Td26","14D","MCAO","Positive",2563.7,4407.6
"208","Td26","14D","MCAO","Positive",2325.5,4559.7
"209","Td26","14D","MCAO","Positive",2124.2,4833.3
"210","Td26","14D","MCAO","Positive",1636.9,2432.3
"211","Td26","14D","MCAO","Positive",2546.9,813.74
"212","Td26","14D","MCAO","Positive",1614.2,1340.1
"213","Td26","14D","MCAO","Positive",1467,2503.5
"214","Td26","14D","MCAO","Positive",1695.9,2944.1
"215","Td26","14D","MCAO","Positive",1668.2,3256.1
