"","MouseID","DPI","Condition","Class","X","Y"
"3","Td75","3D","MCAO","Positive",1539.9,2194.5
"4","Td75","3D","MCAO","Positive",3693.1,4652.5
"5","Td75","3D","MCAO","Positive",2600.1,4501.7
"6","Td75","3D","MCAO","Positive",2930.2,5010.6
"7","Td75","3D","MCAO","Positive",1966.4,2554.4
"8","Td75","3D","MCAO","Negative",4211.1,2204.6
"9","Td75","3D","MCAO","Positive",1223.4,2340.3
"10","Td75","3D","MCAO","Positive",4017.6,2266.6
"11","Td75","3D","MCAO","Negative",3019.5,1200.8
"12","Td75","3D","MCAO","Negative",2871,1292.9
"13","Td75","3D","MCAO","Negative",1796.8,1191.2
"14","Td75","3D","MCAO","Negative",3746.2,2184.8
"15","Td75","3D","MCAO","Positive",3632.3,4719.6
"16","Td75","3D","MCAO","Positive",2071.1,4023.1
"17","Td75","3D","MCAO","Negative",3702.2,3109.1
"18","Td75","3D","MCAO","Positive",4083.1,2388.9
"19","Td75","3D","MCAO","Positive",1647.5,1180.4
"20","Td75","3D","MCAO","Negative",4596,3097.6
"21","Td75","3D","MCAO","Positive",3951.7,3761.4
"22","Td75","3D","MCAO","Negative",4018.7,2068.8
"23","Td75","3D","MCAO","Positive",4361.6,3609.1
"24","Td75","3D","MCAO","Negative",1972.1,1383.5
"25","Td75","3D","MCAO","Negative",4325.4,2618.1
"26","Td75","3D","MCAO","Negative",1696.9,1551.3
"27","Td75","3D","MCAO","Positive",1791.5,1970.7
"28","Td75","3D","MCAO","Negative",3563.7,3439.1
"29","Td75","3D","MCAO","Negative",3926.3,1053.4
"30","Td75","3D","MCAO","Positive",4871.4,2013.7
"31","Td75","3D","MCAO","Negative",3015.1,956.78
"32","Td75","3D","MCAO","Positive",4491.7,3508
"33","Td75","3D","MCAO","Negative",4108.8,3335.8
"34","Td75","3D","MCAO","Negative",2940.3,5471.2
"35","Td75","3D","MCAO","Positive",4155.8,3109.6
"36","Td75","3D","MCAO","Positive",1642.1,2535.7
"37","Td75","3D","MCAO","Positive",3463,520.66
"38","Td75","3D","MCAO","Negative",2521.4,2415.5
"39","Td75","3D","MCAO","Negative",2548.6,5251.4
"40","Td75","3D","MCAO","Positive",4743.3,1728.7
"41","Td75","3D","MCAO","Negative",4821.6,1616.8
"42","Td75","3D","MCAO","Negative",1662.6,1805.7
"43","Td75","3D","MCAO","Negative",3431.9,2067.6
"44","Td75","3D","MCAO","Positive",4842.4,1618.8
"45","Td75","3D","MCAO","Positive",4204.8,3342.7
"46","Td75","3D","MCAO","Negative",4105.9,3270.8
"47","Td75","3D","MCAO","Negative",2090,5336.2
"48","Td75","3D","MCAO","Negative",2886.4,3508.9
"49","Td75","3D","MCAO","Positive",4799.1,1847.7
"50","Td75","3D","MCAO","Negative",4424.1,2242.2
"51","Td75","3D","MCAO","Positive",2609.5,5399.5
"52","Td75","3D","MCAO","Negative",2215.9,2080.7
"53","Td75","3D","MCAO","Negative",4802.1,1603
"54","Td75","3D","MCAO","Negative",3675.6,4119.7
"55","Td75","3D","MCAO","Positive",2718.9,5214.1
"56","Td75","3D","MCAO","Positive",4253.1,3811.1
"57","Td75","3D","MCAO","Negative",3725.4,4200
"58","Td75","3D","MCAO","Positive",4712.4,1677.5
"59","Td75","3D","MCAO","Negative",2271.4,1358.9
"60","Td75","3D","MCAO","Negative",3879.2,4104.4
"61","Td75","3D","MCAO","Negative",3807.1,3563.5
"62","Td75","3D","MCAO","Positive",1486.9,3435.2
"63","Td75","3D","MCAO","Positive",2250.4,662.94
"64","Td75","3D","MCAO","Negative",4443.2,3140.4
"65","Td75","3D","MCAO","Positive",1595.4,1235.6
"66","Td75","3D","MCAO","Negative",3833.8,3222.4
"67","Td75","3D","MCAO","Negative",2719.2,577.55
"68","Td75","3D","MCAO","Negative",2183.4,5409.1
"69","Td75","3D","MCAO","Negative",4232.4,602.36
"70","Td75","3D","MCAO","Negative",3977.3,3468.7
"71","Td75","3D","MCAO","Negative",1803.4,1831.1
"72","Td75","3D","MCAO","Positive",1897.6,4979.8
"73","Td75","3D","MCAO","Negative",2786.5,2804.9
"74","Td75","3D","MCAO","Negative",2601.9,611.94
"75","Td75","3D","MCAO","Negative",1650.2,1408.1
"76","Td75","3D","MCAO","Negative",4134.3,3190.7
"77","Td75","3D","MCAO","Negative",1928.8,4098
"78","Td75","3D","MCAO","Positive",3417.3,4508.4
"79","Td75","3D","MCAO","Negative",4756.2,2204.6
"80","Td75","3D","MCAO","Positive",3172,4089.9
"81","Td75","3D","MCAO","Negative",3230,3959.8
"82","Td75","3D","MCAO","Negative",3479.1,3861.2
"83","Td75","3D","MCAO","Positive",4042.5,3816.9
"84","Td75","3D","MCAO","Negative",3757.8,2286
"85","Td75","3D","MCAO","Negative",3048.4,5352.6
"86","Td75","3D","MCAO","Negative",4125.2,3446.7
"87","Td75","3D","MCAO","Negative",2329.2,2377.5
"88","Td75","3D","MCAO","Positive",4367.1,2964.1
"89","Td75","3D","MCAO","Negative",3719.1,4321.5
"90","Td75","3D","MCAO","Negative",1862.9,4924.8
"91","Td75","3D","MCAO","Negative",2392.9,4888.6
"92","Td75","3D","MCAO","Negative",4050.2,3123.6
"93","Td75","3D","MCAO","Positive",1209.9,3021.1
"94","Td75","3D","MCAO","Negative",2234,1390.6
"95","Td75","3D","MCAO","Negative",3053,4821.7
"96","Td75","3D","MCAO","Positive",2165.6,1333.1
"97","Td75","3D","MCAO","Positive",4719.1,1720.3
"98","Td75","3D","MCAO","Negative",3125.9,4648.7
"99","Td75","3D","MCAO","Positive",1562.8,1477.5
"100","Td75","3D","MCAO","Positive",4359.1,698.37
"101","Td75","3D","MCAO","Negative",2311.5,1189
"102","Td75","3D","MCAO","Negative",3537.1,3142.5
"103","Td75","3D","MCAO","Negative",2680.4,4386.3
"104","Td75","3D","MCAO","Negative",1226.1,3548.5
"105","Td75","3D","MCAO","Negative",2360.4,2410.5
"106","Td75","3D","MCAO","Negative",1999.5,4818.7
"107","Td75","3D","MCAO","Negative",1762.1,3226.9
"108","Td75","3D","MCAO","Negative",2689.2,1569.9
"109","Td75","3D","MCAO","Negative",2880,2489.5
"110","Td75","3D","MCAO","Negative",2621.9,844.93
"111","Td75","3D","MCAO","Negative",4212.1,3100.7
"112","Td75","3D","MCAO","Positive",3905.1,2220.9
"113","Td75","3D","MCAO","Positive",2049.6,2420.6
"114","Td75","3D","MCAO","Negative",3344.5,1471.9
"115","Td75","3D","MCAO","Negative",2129.9,779.67
"116","Td75","3D","MCAO","Negative",3821.7,3018.3
"117","Td75","3D","MCAO","Positive",2142.7,1590.8
"118","Td75","3D","MCAO","Negative",2971.6,3663.5
"119","Td75","3D","MCAO","Positive",1886.7,1529
"120","Td75","3D","MCAO","Positive",4245.3,3574.9
"121","Td75","3D","MCAO","Positive",3991.6,4067.9
"122","Td75","3D","MCAO","Negative",3165.2,2580.9
"123","Td75","3D","MCAO","Negative",3243.7,2940.6
"124","Td75","3D","MCAO","Negative",2465,4884.1
"125","Td75","3D","MCAO","Positive",4990.9,2283.3
"126","Td75","3D","MCAO","Negative",1133.9,3215.1
"127","Td75","3D","MCAO","Negative",1974.3,3550.7
"128","Td75","3D","MCAO","Negative",1602.7,2479.3
"129","Td75","3D","MCAO","Negative",1123.6,2734.8
"130","Td75","3D","MCAO","Negative",1607.4,3516.8
"131","Td75","3D","MCAO","Negative",2484.5,605.83
"132","Td75","3D","MCAO","Negative",3786,4603.8
"133","Td75","3D","MCAO","Negative",2587.7,1050.3
"134","Td75","3D","MCAO","Negative",3234.3,1838.2
"135","Td75","3D","MCAO","Negative",1351.3,3674.1
"136","Td75","3D","MCAO","Positive",1807.6,1089.2
"137","Td75","3D","MCAO","Negative",2410.9,5100.4
"138","Td75","3D","MCAO","Negative",3548.3,2485.2
"139","Td75","3D","MCAO","Positive",1611.6,4154.8
"140","Td75","3D","MCAO","Negative",3325.7,1905.9
"141","Td75","3D","MCAO","Negative",2752.8,3185.4
"142","Td75","3D","MCAO","Negative",4936.3,3082.1
"143","Td75","3D","MCAO","Negative",1916,1610
"144","Td75","3D","MCAO","Negative",4078,1452.3
"145","Td75","3D","MCAO","Negative",3597.3,1035.3
"146","Td75","3D","MCAO","Positive",3200.4,1727.1
"147","Td75","3D","MCAO","Positive",4120.4,2271.2
"148","Td75","3D","MCAO","Positive",2736.3,4838.5
"149","Td75","3D","MCAO","Negative",4878.4,2323.7
"150","Td75","3D","MCAO","Negative",2078.8,3506.2
"151","Td75","3D","MCAO","Negative",2992.8,1363.6
"152","Td75","3D","MCAO","Negative",2610.5,4373.9
"153","Td75","3D","MCAO","Negative",4180.3,3077
"154","Td75","3D","MCAO","Negative",2833.5,646.7
"155","Td75","3D","MCAO","Positive",2902.5,4556.1
"156","Td75","3D","MCAO","Negative",2639.3,3383.4
"157","Td75","3D","MCAO","Positive",2168.9,4853.6
"158","Td75","3D","MCAO","Positive",3880.4,5584.5
"159","Td75","3D","MCAO","Negative",3173.9,1315.7
"160","Td75","3D","MCAO","Positive",2020.8,2419.5
"161","Td75","3D","MCAO","Negative",1647.7,1317.5
"162","Td75","3D","MCAO","Negative",1317.9,3354.3
"163","Td75","3D","MCAO","Positive",3210,4508.2
"164","Td75","3D","MCAO","Negative",2151.2,2992.8
"165","Td75","3D","MCAO","Positive",2837.3,1436.7
"166","Td75","3D","MCAO","Negative",2195.4,5371.3
"167","Td75","3D","MCAO","Positive",2280.9,4235.2
"168","Td75","3D","MCAO","Positive",3824.9,3941
"169","Td75","3D","MCAO","Negative",1463.1,1988.8
"170","Td75","3D","MCAO","Negative",2795,4487.7
"171","Td75","3D","MCAO","Negative",3049.7,1031.1
"172","Td75","3D","MCAO","Negative",4539.3,2499.6
"173","Td75","3D","MCAO","Negative",3128,4110.9
"174","Td75","3D","MCAO","Negative",1694.7,1859.4
"175","Td75","3D","MCAO","Negative",4633.1,1724.2
"176","Td75","3D","MCAO","Positive",2306,4740.3
"177","Td75","3D","MCAO","Negative",3266.3,277.07
"178","Td75","3D","MCAO","Positive",3853.1,4516.8
"179","Td75","3D","MCAO","Negative",2212.3,2827.4
"180","Td75","3D","MCAO","Positive",4285.1,4161.1
"181","Td75","3D","MCAO","Positive",2718.3,641.74
"182","Td75","3D","MCAO","Positive",2329.2,2178.9
"183","Td75","3D","MCAO","Positive",1451.8,1624.5
"184","Td75","3D","MCAO","Positive",1132.8,2924.7
"185","Td75","3D","MCAO","Negative",3172.4,4019
"186","Td75","3D","MCAO","Negative",1141.2,2799.5
"187","Td75","3D","MCAO","Negative",3633,2510.5
"188","Td75","3D","MCAO","Negative",3482.2,2816.4
"189","Td75","3D","MCAO","Negative",4756.2,3523.7
"190","Td75","3D","MCAO","Negative",2222.9,3098.6
"191","Td75","3D","MCAO","Negative",3781.4,4579.4
"192","Td75","3D","MCAO","Negative",2560.7,5419.6
"193","Td75","3D","MCAO","Negative",1327.2,2220.4
"194","Td75","3D","MCAO","Negative",3751.3,1112.8
"195","Td75","3D","MCAO","Positive",3500.3,4530.4
"196","Td75","3D","MCAO","Negative",1445.6,2235.8
"197","Td75","3D","MCAO","Negative",3418,4276.9
"198","Td75","3D","MCAO","Negative",2724.1,1089.8
"199","Td75","3D","MCAO","Negative",3963.7,1501
"200","Td75","3D","MCAO","Negative",4658.2,2249.2
"201","Td75","3D","MCAO","Positive",2082.5,1323.4
"202","Td75","3D","MCAO","Negative",1648.2,1547.7
"203","Td75","3D","MCAO","Positive",2024.7,2694.7
"204","Td75","3D","MCAO","Positive",3689.1,4080.4
"205","Td75","3D","MCAO","Negative",2806,2901.4
"206","Td75","3D","MCAO","Positive",1950.2,1467.5
"207","Td75","3D","MCAO","Negative",3544.2,4278.1
"208","Td75","3D","MCAO","Negative",4234.5,2355.3
"209","Td75","3D","MCAO","Negative",1642,2373.7
"210","Td75","3D","MCAO","Negative",3856.9,2600.3
"211","Td75","3D","MCAO","Negative",3731.7,5557.3
"212","Td75","3D","MCAO","Negative",1624.1,4176.9
"213","Td75","3D","MCAO","Negative",3423,3315.5
"214","Td75","3D","MCAO","Negative",3557.8,4844.5
"215","Td75","3D","MCAO","Negative",2118.9,4997.5
"216","Td75","3D","MCAO","Positive",4327.5,3711.2
"217","Td75","3D","MCAO","Negative",4000,905.31
"218","Td75","3D","MCAO","Positive",1777.2,3646.7
"219","Td75","3D","MCAO","Negative",3166.3,1095.5
"220","Td75","3D","MCAO","Positive",1998.8,2532.8
"221","Td75","3D","MCAO","Negative",3052.7,906.82
"222","Td75","3D","MCAO","Negative",1382.6,2232.4
"223","Td75","3D","MCAO","Negative",4118.7,3648.1
"224","Td75","3D","MCAO","Positive",1514.8,3530
"225","Td75","3D","MCAO","Positive",2938.4,1067.5
"226","Td75","3D","MCAO","Negative",4199.7,2559.7
"227","Td75","3D","MCAO","Positive",1652.2,2940
"228","Td75","3D","MCAO","Negative",2837.8,3633.9
"229","Td75","3D","MCAO","Negative",3729.4,626.57
"230","Td75","3D","MCAO","Positive",2427.6,1239.8
"231","Td75","3D","MCAO","Negative",1465.8,2350.5
"232","Td75","3D","MCAO","Positive",2108,719.08
"233","Td75","3D","MCAO","Positive",2273.5,5352.1
"234","Td75","3D","MCAO","Negative",1718.5,2531.4
"235","Td75","3D","MCAO","Positive",2222.8,3334.8
"236","Td75","3D","MCAO","Negative",2825.3,4923.3
"237","Td75","3D","MCAO","Positive",1189.3,2701.3
"238","Td75","3D","MCAO","Negative",2525.8,1081.4
"239","Td75","3D","MCAO","Positive",2461.9,5166.9
"240","Td75","3D","MCAO","Negative",4884.5,2560
"241","Td75","3D","MCAO","Negative",2628.4,474.31
"242","Td75","3D","MCAO","Negative",2847.4,781.61
"243","Td75","3D","MCAO","Negative",4046.6,4093.4
"244","Td75","3D","MCAO","Negative",1249.7,3421.9
"245","Td75","3D","MCAO","Negative",3190.9,944.4
"246","Td75","3D","MCAO","Negative",1869.9,4012
"247","Td75","3D","MCAO","Negative",2032.1,2679.9
"248","Td75","3D","MCAO","Negative",2491.5,5352.8
"249","Td75","3D","MCAO","Negative",2828.5,4609.5
"250","Td75","3D","MCAO","Negative",3401.7,3617.1
"251","Td75","3D","MCAO","Negative",1340.7,1902.2
"252","Td75","3D","MCAO","Positive",4297.4,3102
"253","Td75","3D","MCAO","Negative",1290.1,3308.1
"254","Td75","3D","MCAO","Negative",4506.9,4109.8
"255","Td75","3D","MCAO","Negative",2758,809.52
"256","Td75","3D","MCAO","Negative",2564.5,483.43
"257","Td75","3D","MCAO","Negative",2394.5,1013.7
"258","Td75","3D","MCAO","Negative",1144.5,3010.8
"259","Td75","3D","MCAO","Negative",2414,3387.8
"260","Td75","3D","MCAO","Negative",3258.7,2616.9
"261","Td75","3D","MCAO","Negative",3063.4,310.13
"262","Td75","3D","MCAO","Negative",2255.1,773.84
"263","Td75","3D","MCAO","Positive",1919,1544.1
