"","Brain","Low","High"
"1","Td77_3D_MCAO_Str","124","12"
"1","Td78_3D_MCAO_Ctx","135"
"1","Td78_3D_MCAO_Peri","107","76"
"1","Td78_3D_MCAO_Str","208","7"
"1","Td79_3D_MCAO_Ctx","104"
"1","Td79_3D_MCAO_Peri","73","16"
"1","Td79_3D_MCAO_Str","67","11"
"1","Td80_0D_SHAM_Str","120"
"1","Td81_0D_SHAM_Ctx","88"
"1","Td81_0D_SHAM_Str","91"
