object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Vacular,Probability of NonVascular,Bounding Box Maximum_0,Bounding Box Maximum_1,Bounding Box Minimum_0,Bounding Box Minimum_1,Size in pixels,Center of the object_0,Center of the object_1
128,0,129,0,Vacular,0.82,0.18,1762.0,1265.0,1745.0,1249.0,215.0,1752.9814,1256.0419
129,0,130,0,NonVascular,0.12,0.88,1888.0,1350.0,1826.0,1285.0,2008.0,1861.7181,1318.2222
130,0,131,0,Vacular,0.92,0.08,1355.0,1313.0,1334.0,1290.0,358.0,1344.6843,1300.7905
131,0,132,0,NonVascular,0.01,0.99,1730.0,1335.0,1688.0,1291.0,1217.0,1710.0936,1310.53
132,0,133,0,NonVascular,0.21,0.79,923.0,1302.0,916.0,1292.0,55.0,918.7636,1296.5454
133,0,134,0,NonVascular,0.41,0.59,1145.0,1319.0,1124.0,1296.0,372.0,1133.9866,1306.0887
134,0,135,0,NonVascular,0.02,0.98,1691.0,1355.0,1668.0,1326.0,411.0,1679.9417,1341.7712
135,0,136,0,NonVascular,0.11,0.89,813.0,1341.0,798.0,1329.0,112.0,805.0268,1334.8661
136,0,137,0,Vacular,0.91,0.09,169.0,1360.0,139.0,1333.0,566.0,152.77562,1345.8163
137,0,138,0,Vacular,0.61,0.39,1737.0,1395.0,1696.0,1337.0,970.0,1714.0309,1368.5485
138,0,139,0,NonVascular,0.02,0.98,732.0,1383.0,705.0,1357.0,450.0,717.75336,1369.211
139,0,140,0,NonVascular,0.12,0.88,1634.0,1374.0,1625.0,1362.0,76.0,1629.3552,1367.2106
140,0,141,0,NonVascular,0.04,0.96,1752.0,1420.0,1720.0,1393.0,423.0,1733.6666,1406.3026
141,0,142,0,NonVascular,0.27,0.73,1936.0,1457.0,1902.0,1396.0,1028.0,1920.359,1426.034
142,0,143,0,Vacular,0.68,0.32,138.0,1433.0,119.0,1409.0,355.0,127.692955,1420.1295
143,0,144,0,NonVascular,0.01,0.99,1712.0,1453.0,1684.0,1410.0,788.0,1697.1079,1430.6066
144,0,145,0,Vacular,0.6,0.4,41.0,1439.0,28.0,1423.0,159.0,33.874214,1430.2578
145,0,146,0,NonVascular,0.2,0.8,164.0,1460.0,151.0,1443.0,146.0,156.9178,1452.3562
146,0,147,0,NonVascular,0.23,0.77,632.0,1454.0,622.0,1447.0,51.0,626.6863,1450.1372
147,0,148,0,NonVascular,0.23,0.77,454.0,1460.0,445.0,1451.0,56.0,449.35715,1455.6428
148,0,149,0,NonVascular,0.2,0.8,592.0,1460.0,579.0,1451.0,81.0,584.321,1454.8643
